,ID,Метод сбора данных,Метка_Северен,Метка_Альянс,Телефон,Наименование компании,ИНН,Дата завершения интервью,MRF_МРФ,RF_Филиал РТК,Технология,TYPE_Макросегмент,SEGMENT_Сегмент,iNPS Лояльность провайдеру ШПД iU4,iNPS_OE,iSAT Удовлетворённость провайдером ШПД iU4,iTPSat1 Набор дополнительных услуг и опций   провайдера ШПД iU4,iTPSat2 Процесс подключения новых услуг провайдера ШПД iU5,iTPSat3 Оборудование провайдера ШПД iU6,iTPSat4 Сайт провайдера ШПД iU7,iTPSat5 Личный кабинет провайдера ШПД iU8,iTPSat6 Служба технической поддержки провайдера ШПД iU9,iTPSat7 Система выставления счетов  провайдера ШПД iU10,iTPSat8 Личный менеджер провайдера ШПД iU11,iTPSat9 Справочная служба провайдера ШПД iU12,iTPSat10 Офисы обслуживания  провайдера ШПД iU13,iTPSat11 Работа с претензиями провайдера ШПД iU14,iTPSat12 Тарифы  провайдера ШПД iU15,iTPSat13 Скорость Интернета  провайдера ШПД iU16,iTPSat14 Стабильность Интернета  провайдера ШПД iU17,iTPSat15 Реклама  провайдера ШПД iU18,iA1Sat1 Удовлетворённость Количеством доп. услуг и опций провайдера ШПД iU4,iA1Sat2 Удовлетворённость Понятностью предлагаемых услуг провайдера ШПД iU4,iA1Sat3 Удовлетворённость Стоимостью доп. услуг и опций провайдера ШПД iU4,iA1Sat4 Удовлетворённость Скидками на доп.услуги и опции провайдера ШПД iU4,iA1Sat5 Удовлетворённость Наличием пакетных предложений на доп.услуги и опции провайдера ШПД iU4,iA2Sat1 Удовлетворённость Удобством подключения провайдера ШПД iU4,iA2Sat2 Удовлетворённость Скоростью подключения провайдера ШПД iU4,iA2Sat3 Удовлетворённость Качеством подключения и настройки оборудования провайдера ШПД iU4,iA6Sat1 Удовлетворённость Простотой подачи обращения провайдера ШПД iU4,iA6Sat2 Удовлетворённость Удобством способов связи с техподдержкой провайдера ШПД iU4,iA6Sat3 Удовлетворённость Компетентностью специалистов провайдера ШПД iU4,iA6Sat4 Удовлетворённость Сроками решения вопросов провайдера ШПД iU4,iA6Sat5 Удовлетворённость Результатами работы по устранению неисправностей провайдера ШПД iU4,iA6Sat6 Удовлетворённость Информированием о статусе решения вопроса провайдера ШПД iU4,iA7Sat1 Удовлетворённость Понятностью счетов провайдера ШПД iU4,iA7Sat2 Удовлетворённость Своевременностью получения счетов провайдера ШПД iU4,iA7Sat4 Удовлетворённость Удобством получения счетов провайдера ШПД iU4,iA7Sat5 Удовлетворённость Возможностью получить отсрочку провайдера ШПД iU4,iA7Sat6 Удовлетворённость Корректностью  начислений в счетах провайдера ШПД iU4,iA10Sat1 Удовлетворённость Ррасположенияем и временем работы офиса провайдера ШПД iU4,iA10Sat2 Удовлетворённость Результативностью обращения в офис провайдера ШПД iU4,iA10Sat3 Удовлетворённость Скоростью решения вопроса или проблемы провайдера ШПД iU4,iA10Sat4 Удовлетворённость Компетентностью сотрудников офиса провайдера ШПД iU4,iA11Sat1 Удовлетворённость Простотой подачи претензий провайдера ШПД iU4,iA11Sat2 Удовлетворённость Сроками решения претензий провайдера ШПД iU4,iA11Sat3 Удовлетворённость Результатами работы по претензиям провайдера ШПД iU4,iA11Sat4 Удовлетворённость Удобством обращения к руководству провайдера при нерешённости претензии провайдера ШПД iU4,iA11Sat5 Удовлетворённость Решением вопроса с первого обращения без повторных обращений провайдера ШПД iU4,iA12Sat1 Удовлетворённость Соотношением цены и скорости провайдера ШПД iU4,iA12Sat2 Удовлетворённость Наличием выгодных для Вас тарифов провайдера ШПД iU4,iA12Sat3 Удовлетворённость Прозрачностью тарифов провайдера ШПД iU4,iA12Sat4 Удовлетворённость Наличием нескольких услуг на одном тарифе провайдера ШПД iU4,iA12Sat5 Удовлетворённость Наличием нужных услуг и сервисов в тарифах провайдера ШПД iU4,EQPT_Роутер или другое устройство для подключения к Интернет Вам предоставил провайдер?,CNCT_Установка и настройка роутера производилась специалистами провайдера?,REBT_Как часто в вашей компании приходится перезагружать роутер? ,ILT Срок жизни ШПД,IUsg1 Ваша компания обращалась к личному менеджеру для получения консультаций и справок по поводу тарифов и работы Интернета? ,"IUsg3 А для решения каких-либо проблем в работе Интернета, таких как низкая скорость, отсутствие Интернета? ",IUsg4 А по вопросам подключения дополнительных услуг? ,IUsg5 Ваша компания звонила в колл-центр для получения консультаций и справок по поводу тарифов и работы Интернета?,IUsg7 А по вопросам подключения дополнительных услуг?,IUsg8 Ваша компания звонила в колл-центр для решения технических проблем?,IUsg9 К Вам в офис приходили специалисты для устранения технических неполадок?,iARPU Сумма в месяц на ШПД,CompNum Кол-во сотрудников,CompAreac Сфера деятельности,RespTitle Должность респондента,"DM Лицо, принимавшиее решение о подключении ШПД",Age_Возраст респондента,Age_int Возраст респондента интервал,Gender Пол респондента,Оld_sample_Основная выборка,wt_Веса для расширенной выборки,wt_old_sample_Веса для основной выборки
0,20200002642,CATI,,,79265557472,"ООО ""КАПИТАЛЪ""",5050126872,25.11.2020,Москва,01109 Московский филиал,Оптика,B2B,МСП,10,Качество работы. Качество предоставляемых услуг.,10.0,10.0,98.0,98.0,98.0,10.0,98.0,10.0,10.0,98.0,98.0,98.0,10.0,10.0,10.0,98.0,98.0,98.0,98.0,98.0,98.0,,,,,,,,,,10.0,10.0,10.0,98.0,10.0,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,,2.0,1.0,3.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2,2.0,1.0,40.0,4.0,1.0,1.0,"1,22","0,67"
1,20200002850,CATI,,,79265723228,"ООО ""АГРОГРУПП""",5074058830,03.12.2020,Москва,01109 Московский филиал,Оптика,B2B,МСП,10,качество   и оперативность  подачи информации,10.0,98.0,98.0,8.0,98.0,98.0,98.0,10.0,98.0,10.0,98.0,98.0,10.0,10.0,10.0,99.0,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,10.0,10.0,99.0,10.0,98.0,1.0,1.0,2.0,4.0,,,,2.0,2.0,2.0,2.0,2.0,1.0,1,6.0,3.0,39.0,4.0,2.0,1.0,"1,22","0,67"
2,20200005238,CATI,,,74955637950,"МБУ КСШОР ""ЗОРКИЙ""",5024109197,04.12.2020,Москва,01109 Московский филиал,Медь,B2G,МСП,10,"работает интернет, всегда работает,нет",10.0,98.0,98.0,99.0,98.0,10.0,98.0,10.0,98.0,98.0,98.0,98.0,10.0,10.0,10.0,98.0,,,,,,,,,,,,,,,10.0,10.0,10.0,98.0,10.0,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,99.0,99.0,1.0,6.0,,,,,,,2.0,2.0,2.0,98,10.0,3.0,45.0,4.0,2.0,1.0,"0,57","0,31"
3,20200005386,CATI,,,74962061267,МБУ ЦБ,5078018242,03.12.2020,Москва,01109 Московский филиал,Медь,B2G,МСП,10,"очень быстро решают вопросы, проблемы",9.0,98.0,7.0,10.0,98.0,98.0,10.0,10.0,10.0,10.0,98.0,10.0,10.0,5.0,10.0,98.0,,,,,,98.0,98.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0,,,,,10.0,10.0,10.0,10.0,10.0,10.0,99.0,98.0,99.0,99.0,1.0,1.0,99.0,99.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,999.0,2.0,98,98.0,3.0,55.0,5.0,2.0,1.0,"0,57","0,31"
4,20200006872,CATI,,,79854305151,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕНТ ГРУПП""",7708542959,03.12.2020,Москва,01901 Столичный филиал,Оптика,B2B,МСП,10,качество соотношение цена -качество,10.0,10.0,98.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,99.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,98,3.0,2.0,34.0,3.0,1.0,1.0,"1,44","0,79"
5,20200007033,CATI,,,79636052200,"ООО ""ЮНИСТ""",7712029242,02.12.2020,Москва,01901 Столичный филиал,Оптика,B2B,МСП,10,"сколько лет им пользуюсь, скорость нормальная, цена ежемесячная доступная",10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0,10.0,10.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1,2.0,1.0,36.0,4.0,1.0,1.0,"1,44","0,79"
6,20200008339,CATI,,,79037622975,"ООО ""ВИТО""",7724463101,03.12.2020,Москва,01901 Столичный филиал,Оптика,B2B,МСП,10,за качество  предоставляемой  услуги  и обслуживания,10.0,10.0,98.0,5.0,98.0,98.0,10.0,10.0,10.0,98.0,98.0,98.0,10.0,98.0,8.0,98.0,98.0,10.0,10.0,98.0,98.0,,,,10.0,10.0,10.0,98.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0,,,,,,,,,,99.0,98.0,98.0,10.0,98.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,,,,2.0,999.0,99.0,4,98.0,2.0,56.0,6.0,1.0,1.0,"1,44","0,79"
7,20200010115,CATI,,,79299126245,"ООО ""ОПТИМА""",7751137481,03.12.2020,Москва,01901 Столичный филиал,Оптика,B2B,МСП,10,За быстрое решение проблем и за качество сигнала.,10.0,98.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,98.0,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1,98.0,1.0,39.0,4.0,2.0,1.0,"1,44","0,79"
8,20200010502,CATI,,,79677910933,"ООО ""ВКУСНЫЕ ТРАДИЦИИ""",9721088505,03.12.2020,Москва,01901 Столичный филиал,Оптика,B2B,МСП,10,"за всё, скорость не падает, всё работает, недорогое обслуживание. по всем характеристикам меня вполне устраивает",10.0,98.0,98.0,10.0,98.0,98.0,98.0,5.0,98.0,98.0,98.0,98.0,10.0,10.0,10.0,98.0,,,,,,,,,,,,,,,5.0,99.0,5.0,10.0,10.0,,,,,,,,,,10.0,10.0,10.0,98.0,10.0,1.0,99.0,1.0,99.0,,,,,,,2.0,2.0,1.0,3,2.0,3.0,37.0,4.0,1.0,1.0,"1,44","0,79"
9,20200011410,CATI,,,79265244424,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЦУКАНОВ СЕРГЕЙ НИКОЛАЕВИЧ,772327741533,04.12.2020,Москва,01901 Столичный филиал,Оптика,B2B,SoHo,10,"Приемлемая цена и оперативная установка интернета. Хорошее качество связи, всё устраивает.",10.0,98.0,98.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,98.0,98.0,8.0,10.0,10.0,98.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0,,,,,,,,,,9.0,9.0,10.0,10.0,10.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3,98.0,3.0,60.0,6.0,1.0,1.0,"1,44","0,79"
